@@ImportExport
Color,Kind,Letter,Number,Symbol
White,Rook,A,1,R
White,Knight,B,1,H
White,Bishop,C,1,B
White,Queen,D,1,Q
White,King,E,1,K
White,Bishop,F,1,B
White,Knight,G,1,H
White,Rook,H,1,R
White,Pawn,A,3,P
White,Pawn,B,2,P
White,Pawn,C,2,P
White,Pawn,D,2,P
White,Pawn,E,2,P
White,Pawn,F,2,P
White,Pawn,G,2,P
White,Pawn,H,2,P
Black,Pawn,A,7,p
Black,Pawn,B,7,p
Black,Pawn,C,7,p
Black,Pawn,D,7,p
Black,Pawn,E,7,p
Black,Pawn,F,7,p
Black,Pawn,G,7,p
Black,Pawn,H,7,p
Black,Rook,A,8,r
Black,Knight,B,8,h
Black,Bishop,C,8,b
Black,Queen,D,8,q
Black,King,E,8,k
Black,Bishop,F,8,b
Black,Knight,G,8,h
Black,Rook,H,8,r